Title,City,Name,Category
Drafter,Alexandria,ECONSTRUCT DESIGN & BUIL...,Creative/Design/Art
Drafter,Alexandria,ECONSTRUCT DESIGN & BUIL...,Engineering - Mechanical/Electrical
Scrum Master,Cairo,Dimofinf Operations Cent...,IT/Software Development
Scrum Master,Cairo,Dimofinf Operations Cent...,Project/Program Management
Scrum Master,Cairo,Dimofinf Operations Cent...,Engineering - Telecom/Technology
Back end Support,Cairo,MTS-IT,IT/Software Development
Software Testing Engineer,Cairo,MTS-IT,Quality
Maintenance Technician,Alexandria,CommuniCare Health,Installation/Maintenance/Repair
Maintenance Technician,Alexandria,CommuniCare Health,IT/Software Development
Maintenance Technician,Alexandria,CommuniCare Health,Engineering - Mechanical/Electrical
QA Engineer Fintech,Cairo,Optasia,IT/Software Development
QA Engineer Fintech,Cairo,Optasia,Quality
Senior Devops Engineer,Cairo,Octane solutions,Installation/Maintenance/Repair
Senior Devops Engineer,Cairo,Octane solutions,IT/Software Development
Senior Devops Engineer,Cairo,Octane solutions,Engineering - Telecom/Technology
Software Engineer - Backend Fintech,Cairo,Optasia,IT/Software Development
Software Engineer - Backend Fintech,Cairo,Optasia,Engineering - Other
Senior Jasper Developer/Admin,Cairo,FlairsTech,IT/Software Development
IT Operation Team Lead,Alexandria,Caduceus Lane,IT/Software Development
System Administrator,Cairo,Arabia for Information T...,IT/Software Development
SAP system admin (SAP Business One),Cairo,Asass,IT/Software Development
SAP system admin (SAP Business One),Cairo,Asass,Engineering - Telecom/Technology
IT Help Desk,Cairo,Amer Vision Group,Installation/Maintenance/Repair
IT Help Desk,Cairo,Amer Vision Group,IT/Software Development
IT Help Desk,Cairo,Amer Vision Group,Engineering - Telecom/Technology
Technical Writer,Cairo,Millensys,Writing/Editorial
Technical Writer,Cairo,Millensys,IT/Software Development
System Administrator,Cairo,Servmix,Administration
System Administrator,Cairo,Servmix,IT/Software Development
System Administrator,Cairo,Servmix,Engineering - Telecom/Technology
ERP Implementer - Odoo,Cairo,classera,Accounting/Finance
ERP Implementer - Odoo,Cairo,classera,Customer Service/Support
ERP Implementer - Odoo,Cairo,classera,IT/Software Development
Full Stack Developer (.Net & Angular),Cairo,GoodsMart,IT/Software Development
Senior QA Engineer,Cairo,Agolo Egypt,IT/Software Development
Power BI Developer,Cairo,eVision,IT/Software Development
Backend PHP,Cairo,Obeikan Digital Solution...,IT/Software Development
Quality Control Engineer,Cairo,Obeikan Digital Solution...,IT/Software Development
Frontend Angular,Cairo,Obeikan Digital Solution...,IT/Software Development
Node JS Developer,Cairo,Obeikan Digital Solution...,IT/Software Development
.NET WEB DEVELOPER (Web Forms),Cairo,Informatique Education,IT/Software Development
.NET WEB DEVELOPER (Web Forms),Cairo,Informatique Education,Engineering - Telecom/Technology
Laravel Developer,Cairo,Kyan Labs,IT/Software Development
Laravel Developer,Cairo,Kyan Labs,Engineering - Telecom/Technology
Senior Testing Engineer,Cairo,Al Ahly Momkn for e-paym...,IT/Software Development
Field Service Rep. I - Drilling Fluids,Cairo,Halliburton Energy Servi...,IT/Software Development
Field Service Rep. I - Drilling Fluids,Cairo,Halliburton Energy Servi...,Medical/Healthcare
Field Service Rep. I - Drilling Fluids,Cairo,Halliburton Energy Servi...,Sales/Retail
Sales Manager,Alexandria,ERP-Bank,Customer Service/Support
Sales Manager,Alexandria,ERP-Bank,IT/Software Development
Sales Manager,Alexandria,ERP-Bank,Sales/Retail
IT Support Agent - Jumia (Full Time),Cairo,Jumia Technologies AG,Customer Service/Support
IT Support Agent - Jumia (Full Time),Cairo,Jumia Technologies AG,IT/Software Development
IT Support Agent - Jumia (Full Time),Cairo,Jumia Technologies AG,Engineering - Telecom/Technology
Finance Manager,Cairo,Dentsu Inc,Accounting/Finance
Finance Manager,Cairo,Dentsu Inc,Banking
Finance Manager,Cairo,Dentsu Inc,Operations/Management
Junior Web Developer (Back-End) - Alexandria,Alexandria,Arabic Localizer,IT/Software Development
